Date,Wellbore name,Year,Month,Oil,Gas,Water,On Stream,Water_Cut
2014-04-01,15/9-F-1 C,2014,4,11142.47,1597936.65,0.0,227.5,0.0
2014-05-01,15/9-F-1 C,2014,5,24901.95,3496229.65,783.48,733.83334,0.030502895999794437
2014-06-01,15/9-F-1 C,2014,6,19617.76,2886661.69,2068.48,705.91666,0.09538214093360584
2014-07-01,15/9-F-1 C,2014,7,15085.68,2249365.75,6243.98,742.41666,0.29273696814670275
2014-08-01,15/9-F-1 C,2014,8,6970.43,1048190.8,4529.75,432.99166,0.3938851391891257
2014-09-01,15/9-F-1 C,2014,9,9168.43,1414099.99,8317.59,630.3,0.4756708501991877
2014-10-01,15/9-F-1 C,2014,10,9468.06,1462063.99,10364.87,745.0,0.5226091152441924
2014-11-01,15/9-F-1 C,2014,11,6710.33,1044188.3,7234.24,579.775,0.5187854483860026
2014-12-01,15/9-F-1 C,2014,12,120.29,25857.08,183.44,27.5,0.6039574622197346
2015-01-01,15/9-F-1 C,2015,1,10875.53,1604934.6,6850.8,479.91667,0.3864759372075325
2015-02-01,15/9-F-1 C,2015,2,9586.64,1439453.67,10744.99,437.41667,0.5284864027134077
2015-03-01,15/9-F-1 C,2015,3,5879.22,856681.45,11607.44,320.20833,0.6637882820389943
2015-04-01,15/9-F-1 C,2015,4,3924.18,566709.81,9815.16,262.83333,0.7143836603504972
2015-05-01,15/9-F-1 C,2015,5,3832.69,559060.34,6167.47,181.08333,0.6167371322058848
2015-06-01,15/9-F-1 C,2015,6,6344.5,925337.48,14548.69,466.44986,0.6963364617849165
2015-07-01,15/9-F-1 C,2015,7,2093.95,315178.96,8454.26,241.66667,0.8014876457711784
2015-08-01,15/9-F-1 C,2015,8,2871.02,427692.59,5334.03,147.79167,0.65009110243082
2015-09-01,15/9-F-1 C,2015,9,6460.27,961548.42,14767.12,384.4668,0.6956634800604314
2015-10-01,15/9-F-1 C,2015,10,4085.8,631372.56,13538.71,367.79986,0.7681751152230616
2015-11-01,15/9-F-1 C,2015,11,3332.05,508384.43,11682.31,301.25833,0.7780757887782096
